Designator,Mid X,Mid Y,Rotation,Layer
C1,150.114,-95.377,270.0,top
C2,158.324,-90.296,0.0,top
C3,155.53,-88.816,270.0,top
C5,151.92,-96.901,0.0,top
C6,155.53,-86.796,270.0,top
J1,157.48,-99.314,90.0,top
Q1,156.081,-94.2,90.0,top
Q2,159.611,-94.2,90.0,top
Q3,163.19,-94.2085,90.0,top
R1,156.532,-91.62,180.0,top
R2,156.7,-96.8,180.0,top
R3,160.055,-91.6,180.0,top
R4,163.6,-91.6,180.0,top
R5,163.8,-96.8,180.0,top
R7,160.2,-96.8,180.0,top
U1,158.3,-87.53,270.0,top
U2,152.466,-94.2285,270.0,top
